Designator,Mid X,Mid Y,Rotation,Layer
BAT1,146.635,-92.421,90.0,bottom
BZ1,110.9458,-106.8726,0.0,top
C1,126.0718,-88.991,0.0,top
C10,129.183,-88.991,0.0,top
C11,151.821,-93.816,270.0,top
C12,159.6442,-96.5524,0.0,top
C13,161.6514,-83.258,270.0,top
C14,162.2102,-94.591,90.0,top
C15,152.798,-85.272,270.0,top
C16,166.1472,-93.515,90.0,top
C17,166.1472,-91.61,90.0,top
C18,168.4717,-92.717,180.0,top
C19,168.4997,-87.129,180.0,top
C2,140.359,-85.562,90.0,top
C20,173.2993,-88.4033,45.0,top
C21,151.059,-85.272,270.0,top
C22,164.2422,-84.208,180.0,top
C23,154.786,-85.049,270.0,top
C24,149.281,-85.272,270.0,top
C25,165.055,-86.6972,90.0,top
C26,136.102,-85.5712,90.0,top
C27,138.261,-85.5712,90.0,top
C28,150.3605,-101.5444,225.0,top
C29,164.4916,-97.0673,45.0,top
C3,115.0258,-96.4533,0.0,top
C30,147.979,-98.897,225.0,top
C31,146.8024,-97.7387,225.0,top
C32,145.947,-93.563,270.0,top
C33,149.1464,-100.0644,225.0,top
C34,148.995,-96.611,135.0,top
C35,159.703,-100.207,135.0,top
C36,152.043,-105.704,135.0,top
C37,147.344,-85.562,90.0,top
C4,116.8894,-92.8394,90.0,top
C5,145.2104,-85.562,90.0,top
C6,113.7287,-86.4203,180.0,top
C7,127.9768,-93.3327,90.0,top
C8,128.9392,-83.7932,0.0,top
C9,150.2214,-87.9164,180.0,top
CON1,169.955,-108.696,0.0,bottom
D1,102.259,-89.245,180.0,top
D2,130.453,-97.4745,90.0,top
D3,167.537,-85.562,0.0,top
D4,102.259,-92.801,180.0,top
D5,187.984,-102.58,315.0,top
D6,186.5844,-103.8526,135.0,top
D7,102.259,-96.23,180.0,top
D8,193.572,-96.992,315.0,top
D9,192.0454,-98.5186,135.0,top
FB1,162.4134,-85.9222,0.0,top
J1,167.791,-82.421,90.0,top
J2,170.791,-82.421,90.0,top
J3,173.791,-82.421,90.0,top
J4,176.791,-82.421,90.0,top
J5,179.791,-82.421,90.0,top
L1,142.675,-82.991,0.0,top
L2,132.93,-82.1932,0.0,top
Q1,152.4748,-98.1858,225.0,top
Q2,155.5316,-102.4414,45.0,top
Q3,122.7339,-103.5681,45.0,top
R1,112.9526,-96.6503,270.0,top
R10,129.183,-90.642,180.0,top
R11,114.4162,-88.5285,180.0,top
R12,120.801,-91.8866,90.0,top
R13,121.7662,-93.9694,90.0,top
R14,177.951,-95.849,225.0,top
R15,179.983,-93.817,225.0,top
R16,127.913,-99.659,225.0,top
R17,170.712,-85.562,0.0,top
R18,105.815,-92.801,180.0,top
R19,125.9448,-96.23,90.0,top
R2,111.8476,-96.6503,270.0,top
R20,172.744,-100.802,45.0,top
R21,129.1932,-85.6728,0.0,top
R22,124.2938,-96.23,90.0,top
R23,150.1839,-89.9992,180.0,top
R24,189.254,-101.31,135.0,top
R25,129.1932,-87.2984,180.0,top
R26,170.712,-102.834,225.0,top
R27,185.317,-105.12,315.0,top
R28,105.815,-96.23,180.0,top
R29,159.6956,-85.3002,90.0,top
R3,105.815,-89.245,180.0,top
R30,157.9196,-97.9494,0.0,top
R31,156.4952,-96.4254,90.0,top
R32,154.0297,-100.3308,225.0,top
R33,149.376,-93.69,180.0,top
R34,149.376,-91.912,180.0,top
R35,158.0192,-84.462,270.0,top
R36,156.3428,-85.8082,270.0,top
R37,154.895,-95.9682,0.0,top
R38,149.757,-95.468,135.0,top
R39,145.947,-91.023,90.0,top
R4,110.9618,-89.5445,180.0,top
R40,156.234,-99.2272,315.0,top
R41,161.1,-99.532,315.0,top
R42,124.6356,-100.3202,45.0,top
R43,186.9862,-86.8018,225.0,top
R44,136.168,-87.975,0.0,top
R45,158.5356,-101.3744,135.0,top
R46,184.9542,-88.8338,225.0,top
R47,194.969,-95.595,135.0,top
R48,118.9468,-99.532,135.0,top
R49,151.0552,-106.6919,135.0,top
R5,110.9618,-90.6621,180.0,top
R50,190.651,-99.913,315.0,top
R51,153.2104,-104.5366,135.0,top
R6,123.0238,-88.991,0.0,top
R7,121.307,-85.943,0.0,top
R8,116.483,-85.943,180.0,top
R9,125.3098,-87.34,180.0,top
SW1,184.2077,-94.1728,45.0,top
SW2,177.189,-101.056,45.0,top
SW3,176.173,-91.277,315.0,top
SW4,167.41,-100.04,315.0,top
SW5,191.1927,-87.1878,45.0,top
TH1,138.962,-92.42,180.0,bottom
U1,142.687,-85.562,90.0,top
U2,113.5526,-92.6433,90.0,top
U3,118.9468,-88.6354,270.0,top
U4,124.5598,-92.382,0.0,top
U5,118.9468,-92.0644,0.0,top
U6,132.927,-85.8922,270.0,top
U7,157.155,-91.066,180.0,top
U8,138.245,-94.441,180.0,top
USB1,118.945,-82.421,270.0,top
Y1,164.3692,-92.57,90.0,top
Y2,168.4997,-89.923,90.0,top
